latgalian,sanskrit,5.2308,3.9968,15.9744,68
latgalian,awadhi,6.9231,6.6274,43.9231,90
latgalian,hindi,2.3529,2.0274,4.1103,40
latgalian,nepali,2.0,1.3973,1.9524,30
latgalian,romanian,4.7,4.2895,18.4,47
latgalian,italian,1.7143,0.488,0.2381,12
latgalian,ligurian,1.6667,1.0,1.0,15
latgalian,french,2.1538,1.6641,2.7692,28
latgalian,friulian,2.2857,1.1547,1.3333,16
latgalian,catalan,1.5556,0.441,0.1944,14
latgalian,occitan,4.5,5.5533,30.8393,36
latgalian,mirandese,1.125,0.0,0,9
latgalian,spanish,1.6,1.5776,2.4889,16
latgalian,galician,2.1,1.5239,2.3222,21
latgalian,portuguese,1.5556,0.441,0.1944,14
latvian,albanian,1.7,1.5776,2.4889,17
latvian,armenian,2.5455,2.9419,8.6545,28
latvian,latgalian,3.1667,3.6742,13.5,19
latvian,lithuanian,1.7143,0.0,0,12
latvian,russian,2.6,2.846,8.1,26
latvian,ukrainian,3.7692,4.1324,17.0769,49
latvian,bulgarian,3.4,3.7947,14.4,34
latvian,macedonian,3.4286,3.7607,14.1429,24
latvian,croatian,2.1111,2.0,4.0,19
latvian,slovene,3.7,3.9497,15.6,37
latvian,czech,2.2,2.6833,7.2,11
latvian,slovak,4.0,4.2426,18,8
latvian,polish,2.8462,2.8689,8.2308,37
latvian,breton,2.6364,3.1072,9.6545,29
latvian,welsh,3.4,2.3594,5.5667,34
latvian,irish,2.45,2.4554,6.0289,49
latvian,norwegian,2.2222,1.7235,2.9706,40
latvian,danish,4.7333,3.5617,12.6857,71
latvian,swedish,2.625,1.9397,3.7625,42
latvian,faroese,2.9091,2.2033,4.8545,32
latvian,icelandic,4.3333,3.542,12.5455,52
latvian,english,4.0909,3.9243,15.4,45
latvian,scots,3.0,3.3602,11.2909,33
latvian,frisian,2.5,1.7269,2.9821,20
latvian,german,2.5,1.5776,2.4889,25
latvian,wymysorys,2.1111,1.6583,2.75,19
latvian,luxembourgish,3.5,3.4514,11.9121,49
latvian,greek,3.6154,3.4119,11.641,47
latvian,sanskrit,2.0,1.9346,3.7429,30
latvian,awadhi,3.9167,3.7769,14.2652,47
latvian,hindi,2.2667,2.1381,4.5714,34
latvian,nepali,2.2105,2.3056,5.3158,42
latvian,romanian,3.375,3.3708,11.3625,54
latvian,italian,5.1667,4.5166,20.4,31
latvian,ligurian,3.0,2.8026,7.8545,33
latvian,french,2.0,1.7299,2.9924,24
latvian,friulian,3.8333,3.9875,15.9,23
latvian,catalan,4.125,4.2426,18,33
latvian,occitan,4.2222,3.5862,12.8611,38
latvian,mirandese,1.5,0.0,0,15
latvian,spanish,1.8333,1.446,2.0909,22
latvian,galician,2.5833,2.9886,8.9318,31
latvian,portuguese,3.0,3.5632,12.6964,24
lithuanian,albanian,2.0,1.446,2.0909,24
lithuanian,armenian,1.4545,0.4045,0.1636,16
lithuanian,latgalian,1.4,0.4472,0.2,7
lithuanian,latvian,1.7143,0.0,0,12
lithuanian,russian,2.875,2.1998,4.8393,23
lithuanian,ukrainian,5.0,4.7987,23.0278,45
lithuanian,bulgarian,2.2857,1.8645,3.4762,16
lithuanian,macedonian,2.2222,1.0541,1.1111,20
lithuanian,croatian,1.5,0.5175,0.2679,12
lithuanian,slovene,1.4,0.4216,0.1778,14
lithuanian,czech,2.0,0.5175,0.2679,16
lithuanian,slovak,4.2857,4.3916,19.2857,30
lithuanian,polish,2.2727,1.221,1.4909,25
lithuanian,breton,2.8182,2.2033,4.8545,31
lithuanian,welsh,2.7,2.8694,8.2333,27
lithuanian,irish,3.5385,3.6286,13.1667,46
lithuanian,norwegian,2.375,1.4083,1.9833,38
