dghwede,65,2.0,0.8703,0.7574,34
dghwede,70,2.3125,2.2426,5.0292,37
dghwede,75,1.8333,0.6691,0.4477,33
dghwede,80,1.7895,0.562,0.3158,34
dghwede,85,1.8235,0.5623,0.3162,31
dghwede,90,1.8235,0.3321,0.1103,31
dghwede,95,1.9444,0.686,0.4706,35
bankon,0,1.1429,NaN,0,16
bankon,5,3.4615,3.4437,11.859,45
bankon,10,2.0625,1.3416,1.8,33
bankon,15,1.8333,1.0416,1.085,33
bankon,20,1.9333,0.9856,0.9714,29
bankon,25,1.875,0.9661,0.9333,30
bankon,30,2.0667,1.1629,1.3524,31
bankon,35,1.9375,1.0145,1.0292,31
bankon,40,1.7647,0.7019,0.4926,30
bankon,45,2.7059,2.7852,7.7574,46
bankon,50,1.8333,1.0432,1.0882,33
bankon,55,1.9412,0.9432,0.8897,33
bankon,60,1.7059,0.8703,0.7574,29
bankon,65,1.8235,0.9432,0.8897,31
bankon,70,1.8889,0.9852,0.9706,34
bankon,75,1.5294,0.3321,0.1103,26
bankon,80,1.6,0.5936,0.3524,24
bankon,85,1.8235,1.2805,1.6397,31
bankon,90,1.3333,0.4714,0.2222,24
bankon,95,1.5882,0.7717,0.5956,27
abipon,0,1.1,NaN,0,11
abipon,5,1.6923,0.8697,0.7564,22
abipon,10,3.3333,1.7123,2.9318,40
abipon,15,3.1667,3.1042,9.6364,38
abipon,20,4.4167,4.2879,18.3864,53
abipon,25,4.0,4.2725,18.2545,44
abipon,30,4.8462,5.4549,29.7564,63
abipon,35,5.0,5.2171,27.2182,55
abipon,40,4.0769,5.0523,25.5256,53
abipon,45,3.0,4.0731,16.5897,39
abipon,50,4.9,4.4771,20.0444,49
abipon,55,3.25,4.2176,17.7879,39
abipon,60,4.8333,4.9992,24.9924,58
abipon,65,4.5,5.0834,25.8409,54
abipon,70,4.8182,5.2795,27.8727,53
abipon,75,3.5455,4.3464,18.8909,39
abipon,80,3.75,4.1633,17.3333,45
abipon,85,4.25,5.1874,26.9091,51
abipon,90,4.6667,4.9992,24.9924,56
abipon,95,5.5,5.3635,28.7667,55
northern qiang,0,1.3571,0.3631,0.1319,19
northern qiang,5,2.1111,0.9634,0.9281,38
northern qiang,10,2.2105,1.8257,3.3333,42
northern qiang,15,2.2778,1.4907,2.2222,41
northern qiang,20,1.95,1.2312,1.5158,39
northern qiang,25,2.4,1.5183,2.3053,48
northern qiang,30,2.2381,1.2209,1.4905,47
