standard yiddish,0,1.2778,0.2357,0.0556,23
standard yiddish,1,1.65,0.8208,0.6737,33
standard yiddish,2,1.5714,0.5774,0.3333,33
standard yiddish,3,2.1,1.1965,1.4316,42
standard yiddish,4,1.9048,0.8136,0.6619,40
standard yiddish,5,1.6667,0.7173,0.5145,40
standard yiddish,6,2.0952,1.6917,2.8619,44
standard yiddish,7,2.9375,2.7325,7.4667,47
standard yiddish,8,2.1053,1.4749,2.1754,40
standard yiddish,9,2.3,1.6222,2.6316,46
standard yiddish,10,1.619,0.5606,0.3143,34
standard yiddish,11,2.8095,2.8735,8.2571,59
standard yiddish,12,1.7143,0.7003,0.4905,36
standard yiddish,13,1.8636,0.8579,0.7359,41
standard yiddish,14,2.0435,1.0098,1.0198,47
standard yiddish,15,1.7391,0.7648,0.585,40
standard yiddish,16,2.7,2.7391,7.5026,54
standard yiddish,17,1.8636,0.658,0.4329,41
standard yiddish,18,3.0,2.9974,8.9842,69
standard yiddish,19,2.1,1.4244,2.0289,42
standard yiddish,20,1.84,0.6272,0.3933,46
standard yiddish,21,1.6667,0.3586,0.1286,35
standard yiddish,22,2.9583,3.162,9.9982,71
standard yiddish,23,2.9167,2.9015,8.4185,70
standard yiddish,24,1.72,0.4726,0.2233,43
standard yiddish,25,1.8261,0.635,0.4032,42
brokskat,0,1.4444,0.5,0.25,13
brokskat,1,1.4667,0.5936,0.3524,22
brokskat,2,1.5714,0.4688,0.2198,22
brokskat,3,1.5625,0.6021,0.3625,25
brokskat,4,1.875,1.0935,1.1958,30
brokskat,5,2.2857,1.7305,2.9945,32
brokskat,6,1.8824,1.5049,2.2647,32
brokskat,7,1.875,0.8921,0.7958,30
brokskat,8,1.6471,0.6063,0.3676,28
brokskat,9,1.6471,0.7019,0.4926,28
brokskat,10,2.6667,2.5469,6.4869,48
brokskat,11,2.5625,2.3805,5.6667,41
brokskat,12,2.0667,1.3452,1.8095,31
brokskat,13,1.9412,1.0037,1.0074,33
brokskat,14,2.0,0.8338,0.6952,30
brokskat,15,2.7333,2.678,7.1714,41
brokskat,16,1.8947,0.7493,0.5614,36
brokskat,17,1.8,0.8013,0.6421,36
brokskat,18,1.9474,0.8412,0.7076,37
brokskat,19,2.0,0.9048,0.8187,38
brokskat,20,1.7727,0.7799,0.6082,39
brokskat,21,1.7619,0.7958,0.6333,37
brokskat,22,3.1429,3.2301,10.4333,66
brokskat,23,1.6316,0.5015,0.2515,31
brokskat,24,1.9474,0.9016,0.8129,37
brokskat,25,3.0,2.8748,8.2647,51
thanggati,0,1.6667,1.1547,1.3333,5
thanggati,1,2.4,2.6833,7.2,12
thanggati,2,1.7143,0.7559,0.5714,12
thanggati,3,4.1667,3.8687,14.9667,25
thanggati,4,1.7778,0.866,0.75,16
thanggati,5,2.0,0.991,0.9821,16
thanggati,6,2.375,1.2817,1.6429,19
thanggati,7,3.0,1.8348,3.3667,18
thanggati,8,3.0,1.8851,3.5536,24
thanggati,9,2.75,1.9955,3.9821,22
thanggati,10,2.1429,1.215,1.4762,15
thanggati,11,3.0,2.2804,5.2,18
thanggati,12,6.6,2.881,8.3,33
thanggati,13,4.4,2.6077,6.8,22
thanggati,14,2.0,0.8997,0.8095,14
thanggati,15,2.8571,2.2147,4.9048,20
thanggati,16,3.1667,2.2286,4.9667,19
thanggati,17,2.1429,1.291,1.6667,15
thanggati,18,2.7143,2.2991,5.2857,19
thanggati,19,2.1667,1.169,1.3667,13
thanggati,20,2.5,1.0328,1.0667,15
thanggati,21,2.8333,2.3166,5.3667,17
thanggati,22,2.8571,2.0354,4.1429,20
thanggati,23,3.3333,2.1602,4.6667,20
thanggati,24,3.0,2.2804,5.2,18
thanggati,25,5.6,3.6469,13.3,28
guayabero,0,1.25,0.0,0,15
guayabero,1,1.7273,1.206,1.4545,19
guayabero,2,1.6154,0.7763,0.6026,21
guayabero,3,1.6429,0.7559,0.5714,23
guayabero,4,1.8462,0.7511,0.5641,24
guayabero,5,1.6667,0.6399,0.4095,25
guayabero,6,2.0,0.9653,0.9318,24
guayabero,7,1.75,0.8921,0.7958,28
guayabero,8,2.0,1.3445,1.8077,26
guayabero,9,2.1667,1.4434,2.0833,26
guayabero,10,1.6667,0.9155,0.8381,25
guayabero,11,1.6875,0.8944,0.8,27
guayabero,12,1.9231,1.1094,1.2308,25
guayabero,13,1.4286,0.5789,0.3352,20
guayabero,14,1.9167,1.2881,1.6591,23
guayabero,15,2.1429,1.2666,1.6044,30
guayabero,16,2.4286,1.4601,2.1319,34
guayabero,17,2.1538,1.1658,1.359,28
guayabero,18,1.8125,1.0935,1.1958,29
guayabero,19,2.0667,1.2799,1.6381,31
guayabero,20,1.5,0.4031,0.1625,24
guayabero,21,2.5,1.7816,3.1742,30
guayabero,22,1.6,0.5936,0.3524,24
guayabero,23,2.25,1.5374,2.3636,27
